,title,write_date,score,content
333,"미안해요, 리키",2020-01-03,10,"83살 ‘영화청년’의 인간옹호와 시대인식 자본주의사회에서 가족의 생계를 책임진 노동자, 그가 흘리는 피눈물 인간에 대한 존엄과 존엄을 내치는 시스템에 대한 거장의 특별한 시선 열심히(?) 쌓아올리는 빚의 노동은 끝이 보이지 않고… 내몰리고 무너지는 얼굴들로 대신하는 켄 로치의 호소 more"
336,바이스,2019-04-20,7,탄탄한 각본과 먹어주는 연기
337,바이스,2019-04-17,8,재밌다. 재밌어
338,바이스,2019-04-16,10,"‘Vice'는 ’부(副)~‘라는 뜻으로 우두머리 부재 시 대체 자 역할을 한다는  뜻도 있으나 ‘악덕, 범죄’와 같은 부정적인 뜻도 내포하고 있다. 아담  맥케이의 ‘바이스’는 이 두 가지 범주의 뜻을 실현한 인물인 조지 W. 부시  시대의 부통령 딕 체니(크리스챤 베일)의 전기 영화다.  보통 전기 영화는 영화가 다루는 인물의 삶을 조명하며 관객과의 공감을  쌓는 게 주 목적이지만 21세기 초 이라크 민중 60만 명을 살상 한 거나  다름없는 딕 체니를 다루는 작품은 극영화라는 서사의 전제조건이  무색하게 마이클 무어의 다큐멘터리를 보는 기시감을 느낄 수 있다. 실존  인물인데다가 마이클 무어 작품에서 다룬 인물들의 악랄함에선 한 치의  오차조차 발견할 수 없기 때문이다.  극영화이면서도 마이클 무어와의 접점을 보이는 대목은 작품 속에서  등장하는 커트(제시 플레멘스)가 내레이션을 하기 때문이다. 작품에서  자신을 밝히기 전 내레이션으로 먼저 등장하는 커트는 마이클 무어 작품에  익숙해진 관객에게 그게 배우의 음성이 아닌 감독의 음성으로 여길만한  분위기를 조성하고 그런 내레이션이 바탕이 됐기 때문에 작품은 단순한  실화를 바탕으로 한 극영화보다는 다큐멘터리에 가까운 모습을 보인다.  커트의 내레이션이 이어지면서 작품이 극영화라는 대목이 부각 되는 건 딕  체니가 별 볼일 없던 전봇대 설치 공에서 부인 린(에이미 아담스)을  만나면서 정권의 실세가 되는 과정을 묘사할 때다. 다큐멘터리라면 딕  체니의 과거를 다루는 데 그의 사진과 그를 다룬 기사를 등장시키고 그의  지인과의 대담을 삽입했을 테지만 극영화다 보니 실존 인물들을 연기한  배우들의 명연기와 세월에 따른 분장이 작품 속에서 빛을 발하면서 작품은  다큐멘터리와 극영화가 취할 수 있는 최상의 조합을 취하며 장르의 경계를  허무는 것에도 성공한다.  딕 체니가 부통령이 되는데 결정적인 조언을 해준 부인 린과의 만남부터  부통령을 하면서 저지른 온갖 부정, 범죄, 학살을 전면부인하고 한국의  태극기 부대처럼 철면피로 ‘애국’포장을 하는 딕 체니는 전형적인 미국의  제국주의를 통해 자신의 성공을 이룬 인물이다. 이미 부인 린이 별 볼일  없던 남편을 유치장에서 꺼내면서 자신의 능력을 남편을 통해 이룬다는  목표를 정한 이후 딕은 부인의 의지로 정계 생활을 시작하고 그 때 만난  공화당의 도널드 럼즈펠드(스티브 카렐)와 같은 극우 주의자를 만나  기본적인 정치개념을 정립하고 레이건 시대에 들어서 철저하게 ‘복지’와  관련된 법안을 거부하며 국가 사유화의 초석을 마련하는 인물이다.  부인이 자신을 이용한다는 걸 알면서도 이를 더 잘 활용해 권력을 쟁취한  전직 전봇대 설치 공은 망나니 조지 W. 부시(샘 록웰)가 자신에게  부통령직을 제안했을 때 부인이 자신에게 했던 방식을 고수하면서 권력  쟁취의 진면모를 보여준다. 미국의 실질적인 권력이 군산복합체에 있다는  게 허언이 아니듯 조지 W. 부시는 단순히 무능한 인물이기 이전에  정치에도 별 관심이 없고 그저 자신이 대통령이라는 경험을 했다는데  만족하고 텍사스에서 목장이나 경영하는 부자에 그칠 뿐이었으며 이런  인물의 배후에서 딕 체니는 아주 신나게 법의 유권해석을 통해 미국이  제국이 되는데 혁혁한 공을 세우고 미군이 이라크 군을 잡아 고문을  하는데도 아무런 죄책감을 느끼지 않았다.  부시가 딕 체니에게 부통령을 제안하기 전 부통령직을 수락하지 않은  상황을 가정해 엔딩 타이틀을 올리는 재치와 어느 고급 식당에서  알프레드 몰리나를 웨이터로 등장시켜 딕 체니 일당이 꾸미는 범죄의  계획을 추천 메뉴로 아주 신랄하게 풍자적으로 들려주는 덕목은 아담  맥케이 감독의 시사 풍자 정신이 블랙 유머로 가득하다는 것을 보여준다.  딕 체니의 심장이 좋지 않았는데 커트가 그 부분과 관련된 인물인 것은  충격과 함께 공포가 아닐 수 없다. 현실에서 권선징악은 너무나 먼  이야기다. 오히려 권악이 많으니 말이다. more"
339,바이스,2019-04-13,8,"전체적으로 볼만했으며, 굵직하고 진보와 보수가 믹스된 정치실화였습니다! 하찮은 인간에서 CEO와 부통령에 이르기까지 딕 체니의 파란만장한 인생과 야심만만한 권력을 실제처럼 잘 다루었고, 마치 미국의 실제 정치를 보는듯하면서 주인공 크리스천 베일이 딕 체니를 연기하기 위하여 체중을 엄청 증량했다는 사실에 놀랍기만 했습니다! 전체적으로 볼만했으니, 별 4개 드립니다!! more"
344,배심원들,2019-12-30,5,무당한테 맡기는게 나을듯
345,배심원들,2019-06-16,6,"2008년에 새로 도입된 배심원 판결 제도를 바탕으로 만든 가상의 영화였지만, 처음에는 그저 무난하게 돌아가다가 마지막에는 어느 정도의 감동을 주었으나 그렇게 완전 감동적이지는 않은 영화였습니다! 현재 자행되고 있는 여러 범죄사건에 있어서 배심원들이 대처해야할 자세와 공정한 판결이 중요하다는 것을 깨달았으니, 별 3개 드립니다!! more"
346,배심원들,2019-06-04,10,"‘-사(士)’ 접미사가 붙은 대부분의 직업들은 전문직으로 자신과 같은 능력을  지니지 못한 이들을 무시하거나 경멸한다. 그렇기에 한국의 민주주의는  현재에도 이뤄지지 않았고 이뤄질 희망이 희박해 보인다. 아무리 정권이  바뀐다 한들 특히 법조계의 판검사들의 권위주의가 하루아침에 겸손과  시민에 대한 봉사 자세를 갖추긴 힘들 것이다. 여전히 고등고시인 암기과목  사법고시를 합격했다는 자부심 하나로 자신들의 기득권을 유지하고  사법고시에 응시하지도 못한 일반 민중은 여전히 자신들의 능력으로  굴복시켜야 할 대상이기 때문이다.  이런 권위가 일반인들을 압박하는 시대에 공교롭게도 이명박 정권시대에  법원에 배심원제도가 실시됐다. 십일 년 전에 첫 배심원제도를 실시한  사연을 다룬 작품 ‘배심원들’은 당시 풍경을 묘사하며 검사와 변호사의  진검승부가 펼쳐졌던 법정을 이번엔 배심원들을 참석시켜 그 시선을 더  확대하고 심지어 고등고시 합격자들이 간과하는 상식과 예의가 어떤지도  보여주는 작품이다.  남우(박형식)는 벤처 사업을 한다는 청년이지만 회생신청을 수 십 차례나  하는 처지이다. 관련부처 공무원은 남우에게 파산신청을 하라고 하지만  자신이 연구 개발한 호신용품을 단 한 개도 시장에 출시하지도 못하고  파산신청을 하기엔 자신의 노력이 아쉽기 때문에 끈질기게 회생신청을  하고 있다. 기득권층들이 봤을 때 완벽한 패배자이자 낙오자인데 그때  법원에서 걸려온 전화가 그를 재판정으로 이끌고 단순 존속 살해사건을  다루던 재판이 남우 덕에 피고인 강두식(서현우)의 유·무죄를 판단하는  재판으로 바뀌고 두식의 운명을 결정짓게 된다.  서두에서 언급했듯 본격적인 재판이 시작되기 전 남우를 면접하는 세  판사 김준겸(문소리), 우배석판사(태인호), 좌배석판사(이해운)의 태도는  고압적이고 권위를 내세우는 면이 다분히 있다. 작품은 이런 권위에  짓눌리던 배심원들이 권위에 짓눌리기는커녕 상식적인 사건의 진상여부를  제대로 파악하지 않았다는 핵심을 건드리자 이에 재판부는 격분하지만  가랑비에 옷이 젖듯 남우를 필두로 한 배심원들의 반격이 점차 관객의  미소를 짓게 만드는 매력이 있다.  남우의 고집과 신념이 관철되기 전 배심원 중 장기백(김홍파)의 시신 검증  반박의견은 이 작품의 신호탄이었다. 법의학자 또한 전문직으로 자신의  능력을 믿어 의심치 않을뿐더러 권위가 있는 직업이다. 그런데 보잘 것 없는  시체 닦는 이가 반박하는 의견이 달갑지 않는 건 물론이고 법정에서 엄숙히  지켜야할 절차를 무시하고 자신의 의견을 고성을 써가며 외치는 기백은  일종의 희생자이자 선구자로서 법정에서 퇴정 당한다.  어수룩하고 어눌한 남우가 다른 배심원들과 달리 자신의 의견을 피력하지  못하다가 피고인인 강두식을 만나게 되고 미화원(김선영)을 만나게 된  순간은 작품에서 남우가 각성하는 계기가 되고 다른 배심원의 마음까지  돌리게 되는 결과를 낳게 된다. 특히 전문직은 아니나 고위급 직장인인  재벌의 비서실장 최영재(조한철)의 마음까지 돌리게 되는 과정은 아주  극적이라고 할 수 있으며 남우야 말로 김준겸 판사가 면접 시 얘기한 법의  존재 의미인 ‘처벌하지 않기’위함을 관철시키려 한다.  남우가 사건 자료를 검토하고 강두식의 유·무죄를 판단하는 과정은  긴박하거나 흥미진진하다고 할 수 없으나 사건을 수사했던 경찰보다도 더  치밀하고 우직하게 자료를 검토한다. 여기에 늦깎이 법대생  윤그림(백수장)의 도움이 더해지면서 작품은 상영시간이 늘어나고  배심원들의 상식적이고도 예의에 맞는 유쾌한 반란을 도출하는데 전력을  쏟는다.  법원장(권해효)은 그저 구색 맞추기로서 진행되던 재판이 장기간 지속되고  각본대로 진행되지 않자 엄청 당황한 표정이다. 여기에 곧이곧대로 자신의  말을 듣지 않는 김준겸 판사까지 속을 뒤집어 놓는다. 상식적으로 한 사람의  인생을 좌우할 수 있는 재판에서 이들은 피고인의 운명이 중요시되기보다  자신들의 명예, 승진, 물질적인 혜택에 더 힘쓰는 모습이며 최고의 엘리트를  자부하는 법조인 조직 또한 그 속성은 역시나 한국의 고질적인 줄서기  악습에 철저하게 종속당한 모습이다.  작품에서 배심원들과 대립하던 재판부는 마지막에는 화해를 하는  모습이다. 이건 권위가 상식에 굴복당한 모습이라기보다 법의 근본적인  취지에 설득당하는 모습이라고 할 수 있다. 아울러 십일 년 전 실화를  바탕으로 제작된 영화에서 결말에 배심원으로 등장했던 법대생 윤그림이  판사가 된 모습을 제외하고 나머지 일곱 명의 인생이 어떻게 됐는지  묘사하지 않은 생략의 미덕도 작품의 미덕이라고 할 수 있다.  ‘배심원들’은 기득권층들이 보면 괘씸하기 이를 데 없는 반란이지만  상식적인 선에서 보면 기득권들이 간과하는 인간에 대한 예의가 있는  작품이며 이를 사회에서 힘없고 난관에 봉착한 평범한 젊은이가 이끌어  냈다는 점에서 의의가 있는 작품이다. 아울러 사회의 중책을 맡은 이들과  공무에 종사하고 있는 이들일수록 특히 사건의 진상을 확실하고 명백하게  파악해야 한다는 상식을 아주 간절하게 호소하고 있다. more"
347,배심원들,2019-05-26,7,개성 있는 캐릭터들이 잘 어우러진 영화
348,백두 번째 구름,2020-01-03,10,"임권택의 육체, 정성일의 시선, 영화의 영혼"
350,버티고,2019-10-19,6,아무리 연기가 좋아도 몰입이 안되는 건 왜일까?
351,벌새,2020-10-03,7,안타깝게도 내가 9살 은희를 먼저 봤네
352,벌새,2020-06-22,10,오랜만에 젖어보는 10대의 여린 감성이었다. 영지 선생님의 등장 이후로는 내내 마음이 아프고 미안했다. more
353,벌새,2019-09-08,10,"말이 안 되게 급성장한 탈은 한국의 구십 년대에 본격적으로 발생한다.  천황을 꿈꾸던 이가 자신이 좋아하고 삶의 신조로 삼았던 일본을 본받아  제2의 일본을 건국하길 원하는 과정이 급속도로 진행되면서 당연시  여겨져야 할 생명, 인권이 묵살됐다. 대표적인 부실공사의 인재로 구십사  년의 성수대교 붕괴, 구십오 년의 삼풍백화점 붕괴가 꼽히고 건설 분야는  아니지만 선진국을 꿈꾸던 한국을 다시금 경제식민지로 전락시킨 구십칠  년의 IMF는 구십 년대가 군사·개발 독재의 부작용이 드러나며 외화내빈에  그친 한국의 민낯이 드러난 시대이기도 하다.  케이블 방송의 드라마가 인기를 끌며 과거를 추억삼고 미화하는 방향이  있는가 하면 독립영화진영에서는 항상 그 이면을 추적하기도 했다.  ‘논픽션 다이어리’는 지존파 사건을 돌아보며 사건의 엽기성에도  주목하지만 사건의 범인을 사형 처리한 걸 두고 당시 김영삼 정부가  문민정부를 표방했으나 의외로 많이 실행된 사형에 대해 생각할 여지를  주는 작품이었다.  구십 년대를 추억하는 이도 있겠으나 구십 년대에 학창시절을 보낸 이들  중에는 그 시절을 그리워하기만 하는 게 아니라 끔찍한 시절로 생각할 이도  있을 것이다. ‘벌새’의 은희(박지후)는 구십사 년에 중학교 이학년 십대  소녀로 사춘기에 접어들어 혼돈의 시기를 보내고 있다.  팔십 년대에 민주화 운동을 했어도 일상은 전혀 민주화와 동떨어진 구십  년대에서 작품 첫머리에 은희가 잘못 찾아간 집에서 오열하며 심지어 그  오열이 분노로 바뀌는 장면은 은희가 가족에서 완전히 소외된 인물 이라고  설정한다.  강남이라는 신흥 부의 성역이 자리 잡은 곳에서 은희아빠(정인기)는 은희의  언니 수희(박수연)가 강남에 있는 고등학교에 떨어져 강북에 있는  고등학교를 다니며 공부 말고 당시 시쳇말로 날라리 짓을 하는데 분노하고  이를 질책한다. 아들 대훈(손상연)은 집안의 기둥이라며 중학교 삼학년인지  대원외고와 서울대라는 한국의 성공신화를 보장해줄 지지대에 대한 기대를  아주 부담스럽게 아들에게 주고 있다. 귀여운 막내딸은 그저 막내딸일  뿐이다. 은희는 막내이기에 받을 수 있는 귀여움이나 사랑에서 완전히  소외된 상태다.  은희가 다니고 있는 중학교는 여전히 학생을 물건으로 취급하여 영어  우열반을 당연시 하고 담임은 역시나 인권 의식의 전무함으로 교우 관계에  해악을 끼치는 밀고를 하라며 날라리들 적어내라고 쪽지를 나눠준다. 현  시점에서 당시의 학교풍경을 보면 구십 년대 전반이 일상의 민주화가 자리  잡지 못했듯이 교육현장에는 전혀 민주화의 여지가 없어 보인다.  가족에서 부모에게도 주목받지 못하고 심지어 아빠한테 기대를 한 몸에  받는 오빠 대훈한테는 살벌하게 얻어터지는 은희는 서예학원 단짝친구  지숙(박서윤)과 어울리며 그 괴로움과 외로움을 푼다. 지숙과는 트램펄린을  힘차게 뛰며 일상의 고통을 날려버리기도 하지만 도가 지나친 짓을 같이  하다가 배신을 맛보기도 하고 후배 유리(설혜인)에게는 애정의 반응까지  받게 된다. 이성친구 지완(정윤서)과 풋풋한 연애를 하기도 하지만  지완에게도 배신당했다가 지완의 엄마 앞에서 된통 밉살스런 말괄량이  취급을 당하기도 한다.  이런 힘든 사춘기 소녀에게도 구원의 순간이 오기도 한다. 침샘에 혹이 생겨  큰 수술을 할 때 가족의 관심을 받는 듯 하 다가도 수술을 끝나기가 무섭게  외면당하고 지숙과 같이 다니던 서예학원에서 교사로 일하던  영지(김새벽)에게도 자신의 고민을 들어주고 세상을 달리 보는 시선을  선사하는데도 위안을 얻지만 갑작스런 잠적에 외로움에 사 묻히게 된다.  제목 그대로 1초에 구십 회의 날개 짓을 하는 벌새처럼 은희는 삶의 온갖  난관을 극복해야 하는 입장이다.  여리고 여린 사춘기 소녀가 감당하기에 구십 사년의 사회 공기는 아주  무겁다. 서두에 언급한 성수대교 붕괴로 인해 은희도 충격을 받는다.  충격받은 은희에게 제대로 된 구원책은 안 보인다.  구십 년대의 추억보다는 고난이 닥친 은희에게 결국엔 아무런 희망도 없이  고통만이 존재할 뿐이다. 근본적인 민주화가 자리 잡지 못해 일상의  전체주의가 공고해지고 현재의 끔찍한 대한민국의 실상이 태동하게 된  구십 년대는 모두에게 추억이 될 수 없을뿐더러 특히나 엄청난 두 건의 대형  인재와 IMF의 직격탄을 맞은 이들에겐 지옥이다. 사건의 중심에서 은희는  사춘기 여중생으로서 감당치 못할 인생의 부담을 느끼며 그저 벌새처럼  끊임없는 날개 짓을 해야 하는 운명으로 부디 난관을 뚫고 안정적인 삶이  계속되길 바랄 뿐이다. more"
356,벤 이즈 백,2019-06-21,7,"약물 중독으로 인하여 재활 치료를 받고 돌아온 아들과 그런 아들을 증오하면서 사랑하는 엄마의 모자애를 잘 표현한 영화였습니다! 슬프고 참혹한 과거사를 공개하는 장면에서 조금 서먹하고 소름끼치는 부분이 있어서 안타까운 면도 있었습니다! 무엇보다 줄리아 로버츠의 모성애 연기가 실제처럼 느껴져서 좋았으며 전체적으로 어느 정도 감동은 있었으니, 별 3개 반 드립니다!! more"
357,벤 이즈 백,2019-05-11,7,모자지간의 사랑과 증오의 감정을 섬세하게 그려냄
358,벤트: 마약의 도시,2019-08-03,6,"범죄영화치고는 황당하면서 뭔가 좀 짠한 느낌이 든 영화였습니다! 동료의 죽음으로 누명을 뒤집어 쓴 경찰이 출소 후에 복수하는 과정을 다루었지만, 과정 속에서 밝혀진 충격적인 진실과 비리는 물론, 복수하는 장면에서 정작 주인공이 아닌 다른 인물이 복수를 대신 해준 점이 왠지 교환살인같은 느낌이어서 황당 그 자체였습니다! 전반적으로 황당하면서 짠했으니, 별 3개 드립니다!! more"
360,보희와 녹양,2019-06-26,8,"재미있고, 슬프고, 아프면서, 사랑스럽네요...^.,^~~~ 재미있었어요....^.,^~~~ more"
363,봉오동 전투,2019-08-22,6,그럭저럭 볼만했다
364,봉오동 전투,2019-08-11,10,"웅장하면서 짜릿하고 통쾌한 역사극실화였습니다! 1920년 홍범도 장군이 이끄는 대한독립군과 일본군이 벌인 봉오동 전투를 다룬 영화로, 일본군의 만행이 너무 잔인하고 분통스러웠지만, 후에 독립군의 연합 공격으로 일본군이 전멸되는 것이 통쾌한데다, 민초들의 연합과 단결에 놀라움을 금치 못 했습니다! 전체적으로 감동적이면서 재밌었으니, 별 5개 드립니다!! more"
365,봉오동 전투,2019-08-07,5,마지막 카메오 등장씬 외엔 지루함만 남은 영화
367,분노의 질주: 홉스&쇼,2019-08-27,10,"속편이라는 시리즈의 단선적인 구조에서 스핀오프라는 파생물을 생성한  할리우드는 하나의 원작으로 이를 무한대로 변형, 추가, 창작을 통해 관객을  맞이하고 있다. 만성적인 소재 고갈이라는 근원적인 문제에 직면해  있음에도 하나의 원작으로 지속적인 세계관 확장에는 아무런 문제가  없다보니 영화를 ‘예술’이 아닌 ‘오락물’의 기능이라고 생각하는 측면에서는  엄청난 즐길 거리가 생긴 것이다.  ‘분노의 질주, 홉스 & 쇼’는 스핀오프지만 ‘스핀오프’라는 시리즈의 번외라는  타이틀을 굳이 달지 않아도 충분히 즐길만한 요소가 많은 전형적인  액션물이다. 제목에서 연상되는 카 체이싱 액션도 포함되지만 시리즈를  관통하는 초고속 슈퍼 카들의 행진은 이번에서 제외됐다. 물론  쇼(제이슨 스타뎀)가 런던 시내를 활보하는 맥라렌이 등장해 순간적으로  근본적인 시리즈의 역할을 다하긴 하지만 시리즈를 관통하는 슈퍼 카  보다도 부제로 달린 홉스(드웨인 존슨)와 쇼의 어긋나면서도 환상적인  조화를 자랑하는 버디 무비로서의 역할에 충실하다.  건장한 두 사내들을 전면에 등장시켰다는 점에서는 할리우드의 80년대  ‘하드바디’의 전형인 아놀드 슈왈츠제너거와 실버스타 스탤론을 등장시킨  액션영화와 별반 차이는 없어 보인다. 그런데 이런 전형성에도 작품은 꽤  재밌다. 악당 브릭스턴(이드리스 알바)의 야욕을 저지하는 두 남자의  활약에 브릭스턴이 취하는 기계인간과 같은 세계관은 심각하기보다 그저  전형적인 악역의 설정이고 브릭스턴의 배후 조직 에테온은 이 스핀오프  시리즈의 다음을 기약하는 전제조건으로 작용한다.  사모아 섬에서 최첨단 무기 체계를 자랑하던 에테온이 순간적인 정전으로  아날로그 액션을 벌여야 하는 상황은 근본적으로 사람이 취하는 액션의  순수한 힘과 쾌감을 과시하며 낡았으나 멋진 액션의 연출이 가능하다는 걸  보여준다. 부담 없이 순수한 ‘오락’측면에서 ‘분노의 질주 홉스 & 쇼’는  근본적인 재미를 추구한다는 점에서 두 시간 동안 즐기면서 보기에  부족함이 없다. more"
368,분노의 질주: 홉스&쇼,2019-08-23,9,"'분노의 질주' 스핀오프한 영화로, 짜릿하면서 스펙타클한 액션영화였습니다! 오리지널 시리즈가 아닌 스핀오프 시리즈라서 오리지널에 등장한 메인 주인공들이 등장하지 않은 것이 아쉽기는 하지만, 드웨인 존슨과 제이슨 스태덤 등장이 비주얼이 넘쳤으며 액션 연기도 거의 갑이었습니다! 전반적으로 딱히 나쁘지는 않았으니, 별 4개 반 드립니다!! more"
369,분노의 질주: 홉스&쇼,2019-08-22,7,전 이 시리즈 찬성이요
370,분노의 질주: 홉스&쇼,2019-08-18,6,불필요한 액션 및 말장난이 지나치게 많았다.
372,뷰티풀 보이,2020-05-21,7,"조용하면서 가슴 아픈 소설원작실화였습니다! 부모의 이혼을 비롯한 가슴 아픈 과거를 가진 한 소년이 평범한 일상을 회피하고자 약에 손을 대면서 약물 중독자가 되어 재활 치료를 받기까지의 내용들이 너무 가슴 아프고 서럽다는 생각이 들었고, 부모의 무관심이 자식을 망친다는 교훈을 얻는 계기가 되었습니다! 가슴 아프지만 교훈적인 내용이 든 영화였으니, 별 3개 반 드립니다!! more"
376,블라인드 멜로디,2019-09-09,7,2시간이 넘는 이야기를 지루하지 않게 끌고 가는군
377,블라인드 멜로디,2019-09-06,8,한 치 앞도 내다볼 수 없는 영화
379,블랙머니,2019-12-03,10,"한국은 범죄가 만연된 곳이다. 상습적으로 형사처벌을 받는 교도소  수감자들보다 권력과 배경을 토대로 자신들의 사리사욕을 채우기 위한  무대가 바로 이곳이다. 2012년 외환은행을 헐값에 사들인 론스타 사태를  다룬 ‘블랙머니’는 이명박 시대의 금융범죄를 조망하며 역시나 분야만 다를  뿐 자신들의 범죄를 국가를 위한 것이라는 궤변을 일삼는 괴물들을  등장시키고 이에 동조하는 또 다른 권력인 검찰 덕에 역시나 친일파들의  득세 이후 범죄자들이 자신들의 죄에 대한 처벌을 받지 않는 끔찍한 현실을  여과 없이 담아낸다.  이들을 처벌하려는 양민혁(조진웅)검사는 검찰의 비주류다. 출세욕이 없는  듯 그저 법의 엄정한 집행과 범죄자들의 잘못을 처벌하는 것만이 검사의  사명이라고 생각하는 이다. 당연히 자신이 성추행범이라고 누명을 쓴  사건에서 촉발된 이 거악들과의 투쟁에서 양민혁은 그의 별명답게 정의를  위해서는 상식과도 같은 절차적 정의를 무시하고 다소 위법과 편법을  동원해 이 거악들이 벌인 대형범죄를 일소하려는데 저돌적으로 돌입한다.  정지영 감독은 국가를 대표한다고 하며 자신들의 사리사욕만 챙긴 이들의  정체를 폭로한다. 아울러 이들에게 맞선 양민혁에게 좌절도 안겨준다.  실화를 바탕으로 감독이 바라는 세상에 대한 관점도 투영시킬 법도 하지만  현실이 전혀 그렇지 못하는 것 까지 작품은 오롯이 담아낸다. 특히 변호사  나리(이하늬)가 자신의 부친(남명렬)의 문자를 받고 은행의 매각을  징벌매각이 아닌 일반매각에 동의한 건 양민혁 같은 우직하고 정의로운  이들에게 엄청난 배신이자 한국에서 암약하는 괴물들을 처단할 수 있는  의지를 꺾는 일이다.  정지영 감독 또한 자신의 작품 세계에서 추구하는 정의를 정면으로  돌파하며 원로가 아닌 현역으로서 현실에 자신이 작가로서의 정체성을  유지하며 관객과 호흡하고 있다. 투박하나 정직하게 현 시국에 대한  날카롭고 세밀한 시선은 관객들로 하여금 영화 이상의 생각과 이 나라  지도자들의 민낯을 보여주며 결코 거악을 행하는 이들에게 지지 말자고  호소하는 듯하다.  졌으나 못된 이들의 정체는 어떤 미사여구를 동원한다 해도 정당화 될 수도  없고 국가를 위하는 게 아닌 자신들의 사리사욕 달성 이외의 목적은 있을  수도 없다. 영화가 아닌 현실에서 이들의 손목에 수갑이 채워지고 수의를  입은 모습을 제대로 볼 수 있을 때, 정지영을 비롯한 사회 고발 작품을  만드는 영화 구성원들의 일종의 학자적 양심이 실현될 것이다. more"
380,블랙머니,2019-12-01,8,"2011년에 일어나 현재까지 미해결로 남고 있는 금융범죄를 다룬 실화라서 그런지 충격적이면서 여운이 남는 영화였습니다! 범죄해결을 위하여 내부고발이라는 위험한 선택을 한 검사의 정의로움과 정부와 법조인간의 위험한 거래와 잔혹한 배신까지 충격 그 자체였습니다! 그래도 어느 정도의 여운을 남겨주었으니, 별 4개 드립니다!! more"
381,블랙머니,2019-11-18,6,생각보다 볼만했다.
382,블랙머니,2019-11-17,7,마지막 조진웅 연설 때 약간 소름 돋았다.
383,블랙머니,2019-11-15,2,사건을 끌고 나가는 방식이 자연스럽지 못하고 상당히 억지스럽다 그래서 그런지 그 좋은 배우들이 제 기량을 제대로 펼치지 못한다 more
386,블루 마이 마인드,2019-12-08,8,"스토리, 연기, 연출 모든게 잘된 영화, 특히 난 홀트하우젠의 미모에 깊이 매료되고 말았다"
388,비뚤어진 집,2019-10-19,5,"추리소설의 여성 거장으로 잘 알려진 애거서 크리스티의 추리소설 원작으로 한 영화라서 어느 정도 기대하고 봤는데, 소설과는 좀 다른 내용들이 있어서 조금 실망스러운 영화였습니다! 소설과는 같은 내용이지만 진범이 다름아닌 어린 소녀였다는 점이 충격스럽기 그지 없고, 결말도 소설보다 더 허망해서 좋은 점이 별로 없었으니, 별 2개 반 드립니다!! more"
389,비뚤어진 집,2019-10-06,5,추리 소설 각색 작품의 필수 요소인 긴장감이 부족
393,빌리어네어 보이즈클럽,2019-04-06,4,"젊고 잘생긴 하버드 출신의 엘리트들이 모여 최고의 금융투자그룹을 결성하여 대규모의 돈을 투자하고 벌어들이면서 벌어지는 사기극과 몰락을 함께 다루었지만, 배우들의 연기만 좋았을 뿐, 실화치고는 너무 비참하고 허망해서 크게 재미를 느끼지 못한 영화였습니다! 클럽에서 그룹까지의 발전은 기발했지만, 내용 전개를 좀 더 재밌게 해주었으면 바램입니다! 전체적으로 솔직히 별로였으니, 별 2개 드립니다!! more"
394,뺑반,2020-02-01,6,늘 그렇듯 똥차 몇 대 박살
395,뺑반,2019-02-20,3,카체이싱의 속도감을 다 잡아먹는 플롯
396,뺑반,2019-02-07,1,그간의 영화에서 다양한 캐릭터를 거뜬히 소화해낸 공효진의 고군분투에도 불구하고 지루하군
397,뺑반,2019-02-02,5,파손된 자동차들만 기억 남는 특색 없는 영화
398,뺑반,2019-02-02,6,"전체적으로 공감과 여운이 많이 부족해서 아쉬움만 남긴 범죄코미디영화였습니다! 뺑소니 사건에서 추적씬을 제외하고는 싸움과 대화씬이 짜릿하지 않고 오히려 답답함만 느껴졌으며, 결말도 화끈하지 못한 것도 아쉬울 따름이었습니다! 이번은 전체적으로 아쉬움만 가득했으니, 별 3개 드립니다!! more"
403,사바하,2019-04-05,7,"종교와 믿음, 나약함과 우매함 사이 어디쯤."
404,사바하,2019-04-05,2,흥미로운 소재를 제대로 살리지 못하는군
405,사바하,2019-03-03,8,"그리 좋은 영화는 아니었지만, 그렇다고도 나쁘지 않은 그저 그럭저럭한 영화였습니다! 사이비 종교 집단에 대한 단서와 가톨릭과 불교에서 합성된 악령 출현, 악령 퇴치 등 너무 종교적이어서 내용 이해와 해석이 좀 난해한 영화였습니다! 초반부는 감이 잘 안 잡히다가 후반부부터 긴장감을 높여주면서 볼만했으니, 별 4개 드립니다!! more"
